Provinsi,,,,,,,
,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (Tahun),,,,,,
,Laki-laki,,,Perempuan,,,
,2019,2020,2021,2019,2020,2021,
ACEH,67.98,68.04,68.07,71.85,71.91,71.94,
SUMATERA UTARA,67.07,67.22,67.35,70.92,71.08,71.21,
SUMATERA BARAT,67.42,67.59,67.7,71.29,71.45,71.57,
RIAU,69.62,69.75,69.82,73.43,73.55,73.62,
JAMBI,69.11,69.27,69.33,72.97,73.07,73.19,
SUMATERA SELATAN,67.78,68,68.11,71.63,71.86,71.95,
BENGKULU,67.28,67.47,67.54,71.13,71.27,71.4,
LAMPUNG,68.64,68.78,68.86,72.48,72.61,72.69,
KEP. BANGKA BELITUNG,68.63,68.77,68.86,72.46,72.59,72.7,
KEP. RIAU,67.92,68.08,68.24,71.73,71.9,72.07,
DKI JAKARTA,70.96,71.1,71.21,74.68,74.8,74.91,
JAWA BARAT,71.03,71.3,71.57,74.81,75,75.19,
JAWA TENGAH,72.33,72.51,72.61,76.16,76.3,76.42,
DI YOGYAKARTA,73.13,73.22,73.27,76.76,76.83,76.89,
JAWA TIMUR,69.3,69.42,69.51,73.15,73.27,73.35,
BANTEN,67.97,68.08,68.15,71.81,71.93,71.99,
BALI,70.11,70.28,70.39,73.89,74.03,74.17,
NUSA TENGGARA BARAT,64.32,64.63,64.81,68.16,68.39,68.66,
NUSA TENGGARA TIMUR,64.98,65.15,65.28,68.81,68.96,69.11,
KALIMANTAN BARAT,68.67,68.8,68.87,72.55,72.67,72.74,
KALIMANTAN TENGAH,67.79,67.84,67.89,71.6,71.66,71.72,
KALIMANTAN SELATAN,66.55,66.76,66.97,70.45,70.62,70.79,
KALIMANTAN TIMUR,72.41,72.54,72.79,76.13,76.21,76.51,
KALIMANTAN UTARA,70.57,70.63,70.69,74.4,74.44,74.48,
SULAWESI UTARA,69.71,69.82,69.89,73.55,73.67,73.72,
SULAWESI TENGAH,66.32,66.77,66.91,70.26,70.72,70.85,
SULAWESI SELATAN,68.54,68.68,68.77,72.42,72.56,72.65,
SULAWESI TENGGARA,69.2,69.31,69.35,73.12,73.37,73.37,
GORONTALO,66.01,66.14,66.27,69.94,70.09,70.21,
SULAWESI BARAT,62.96,63.2,63.39,66.78,67.02,67.19,
MALUKU,63.95,64.12,64.23,67.79,67.93,68.05,
MALUKU UTARA,66.25,66.43,66.55,70.17,70.32,70.44,
PAPUA BARAT,64.01,64.2,64.33,67.78,67.9,68.05,
PAPUA,63.87,64.02,64.15,67.51,67.65,67.79,
INDONESIA,69.44,69.59,69.67,73.33,73.46,73.55,
,,,,,,,
Metadata Indikator,,,,,,,
Indikator,Konsep,Definisi,Interpretasi,Metode Perhitungan,Rumus,Ukuran,Dihasilkan dari kegiatan
Angka Harapan Hidup saat Lahir (AHH),-,Angka Harapan Hidup saat Lahir (AHH) didefinisikan sebagai rata-rata perkiraan banyak tahun yang dapat ditempuh oleh seseorang sejak lahir.,"AHH Indonesia pada tahun 2016 sebesar 70,90 tahun. Artinya, secara rata-rata bayi yang baru lahir pada tahun 2016 memiliki peluang untuk bertahan hidup sampai dengan 70,90 tahun.
",-,-,,Kompilasi Data Indeks Pembangunan Manusia
