Provinsi,,,,,,,
,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (Tahun),,,,,,
,Laki-laki,,,Perempuan,,,
,2016,2017,2018,2016,2017,2018,
ACEH,67.61,67.62,67.73,71.52,71.55,71.67,
SUMATERA UTARA,66.48,66.49,66.73,70.29,70.29,70.52,
SUMATERA BARAT,66.9,66.94,67.16,70.65,70.7,70.93,
RIAU,69.1,69.12,69.32,72.9,72.92,73.12,
JAMBI,68.69,68.75,68.89,72.62,72.67,72.8,
SUMATERA SELATAN,67.28,67.29,67.52,71.16,71.17,71.4,
BENGKULU,66.62,66.64,66.89,70.49,70.51,70.76,
LAMPUNG,68.03,68.04,68.27,71.9,71.91,72.14,
KEP. BANGKA BELITUNG,68.05,68.08,68.32,71.88,71.89,72.11,
KEP. RIAU,67.59,67.6,67.76,71.39,71.4,71.56,
DKI JAKARTA,70.72,70.78,70.87,74.41,74.41,74.56,
JAWA BARAT,70.57,70.58,70.76,74.39,74.42,74.62,
JAWA TENGAH,72.1,72.16,72.28,75.99,76.02,76.1,
DI YOGYAKARTA,72.92,72.95,73.03,76.54,76.57,76.65,
JAWA TIMUR,68.8,68.82,68.99,72.68,72.7,72.87,
BANTEN,67.54,67.57,67.72,71.44,71.47,71.62,
BALI,69.55,69.58,69.8,73.32,73.35,73.57,
NUSA TENGGARA BARAT,63.55,63.57,63.88,67.39,67.42,67.75,
NUSA TENGGARA TIMUR,64.17,64.2,64.51,67.92,67.96,68.28,
KALIMANTAN BARAT,67.99,68,68.26,71.89,71.9,72.16,
KALIMANTAN TENGAH,67.68,67.69,67.74,71.49,71.5,71.55,
KALIMANTAN SELATAN,65.92,65.98,66.16,69.84,69.95,70.19,
KALIMANTAN TIMUR,71.85,71.87,72.13,75.59,75.61,75.87,
KALIMANTAN UTARA,70.49,70.5,70.52,74.3,74.34,74.37,
SULAWESI UTARA,69.09,69.11,69.33,72.99,73.01,73.23,
SULAWESI TENGAH,65.39,65.4,65.86,69.28,69.29,69.75,
SULAWESI SELATAN,67.94,67.96,68.2,71.84,71.86,72.1,
SULAWESI TENGGARA,68.54,68.57,68.83,72.47,72.47,72.71,
GORONTALO,65.22,65.22,65.51,69.16,69.2,69.53,
SULAWESI BARAT,62.49,62.52,62.76,66.2,66.23,66.47,
MALUKU,63.44,63.49,63.68,67.34,67.39,67.58,
MALUKU UTARA,65.53,65.56,65.82,69.5,69.53,69.79,
PAPUA BARAT,63.32,63.34,63.57,67.16,67.19,67.43,
PAPUA,63.44,63.45,63.67,66.99,67,67.22,
INDONESIA,69.09,69.16,69.3,72.8,73.06,73.19,
,,,,,,,
Metadata Indikator,,,,,,,
Indikator,Konsep,Definisi,Interpretasi,Metode Perhitungan,Rumus,Ukuran,Dihasilkan dari kegiatan
Angka Harapan Hidup saat Lahir (AHH),-,Angka Harapan Hidup saat Lahir (AHH) didefinisikan sebagai rata-rata perkiraan banyak tahun yang dapat ditempuh oleh seseorang sejak lahir.,"AHH Indonesia pada tahun 2016 sebesar 70,90 tahun. Artinya, secara rata-rata bayi yang baru lahir pada tahun 2016 memiliki peluang untuk bertahan hidup sampai dengan 70,90 tahun.
",-,-,,Kompilasi Data Indeks Pembangunan Manusia
