Provinsi,,,,,,,
,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (Tahun),,,,,,
,Laki-laki,,,Perempuan,,,
,2010,2011,2012,2010,2011,2012,
ACEH,67.17,67.25,67.32,71.09,71.16,71.22,
SUMATERA UTARA,65.59,65.76,65.93,69.43,69.61,69.78,
SUMATERA BARAT,65.7,65.9,66.11,69.58,69.78,69.99,
RIAU,68.26,68.43,68.61,72.14,72.3,72.46,
JAMBI,67.99,68.14,68.3,71.88,72.03,72.18,
SUMATERA SELATAN,66.45,66.62,66.78,70.34,70.49,70.66,
BENGKULU,65.92,66.08,66.26,69.81,69.98,70.16,
LAMPUNG,67.01,67.23,67.45,70.9,71.1,71.31,
KEP. BANGKA BELITUNG,67.25,67.42,67.6,71.14,71.3,71.45,
KEP. RIAU,66.54,66.76,66.98,70.39,70.59,70.81,
DKI JAKARTA,69.86,70.02,70.19,73.65,73.8,73.96,
JAWA BARAT,69.4,69.68,69.95,73.27,73.53,73.79,
JAWA TENGAH,70.8,70.99,71.18,74.75,74.92,75.1,
DI YOGYAKARTA,72.36,72.47,72.57,76.06,76.14,76.24,
JAWA TIMUR,68,68.13,68.25,71.89,72.01,72.13,
BANTEN,66.6,66.78,66.97,70.48,70.66,70.84,
BALI,68.73,68.89,69.06,72.59,72.76,72.91,
NUSA TENGGARA BARAT,61.95,62.27,62.56,65.77,66.09,66.4,
NUSA TENGGARA TIMUR,63.42,63.59,63.77,67.24,67.41,67.6,
KALIMANTAN BARAT,67.15,67.35,67.56,71.07,71.28,71.47,
KALIMANTAN TENGAH,67.16,67.25,67.35,70.98,71.06,71.16,
KALIMANTAN SELATAN,64.76,64.99,65.23,68.63,68.86,69.09,
KALIMANTAN TIMUR,71.03,71.25,71.46,74.84,75.05,75.27,
KALIMANTAN UTARA,-,-,-,-,-,-,
SULAWESI UTARA,68.51,68.65,68.8,72.39,72.55,72.7,
SULAWESI TENGAH,64.17,64.48,64.8,68.07,68.39,68.7,
SULAWESI SELATAN,67.01,67.2,67.4,70.94,71.12,71.31,
SULAWESI TENGGARA,67.72,67.93,68.14,71.67,71.87,72.08,
GORONTALO,64.51,64.68,64.84,68.41,68.59,68.77,
SULAWESI BARAT,60.64,60.92,61.18,64.45,64.72,65,
MALUKU,62.59,62.74,62.9,66.42,66.58,66.74,
MALUKU UTARA,64.8,64.97,65.12,68.69,68.88,69.08,
PAPUA BARAT,62.7,62.88,63,66.57,66.72,66.86,
PAPUA,62.51,62.66,62.81,66.19,66.34,66.48,
INDONESIA,67.89,68.09,68.29,71.83,72.02,72.22,
,,,,,,,
Metadata Indikator,,,,,,,
Indikator,Konsep,Definisi,Interpretasi,Metode Perhitungan,Rumus,Ukuran,Dihasilkan dari kegiatan
Angka Harapan Hidup saat Lahir (AHH),-,Angka Harapan Hidup saat Lahir (AHH) didefinisikan sebagai rata-rata perkiraan banyak tahun yang dapat ditempuh oleh seseorang sejak lahir.,"AHH Indonesia pada tahun 2016 sebesar 70,90 tahun. Artinya, secara rata-rata bayi yang baru lahir pada tahun 2016 memiliki peluang untuk bertahan hidup sampai dengan 70,90 tahun.
",-,-,,Kompilasi Data Indeks Pembangunan Manusia
